sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos;nm_mun_clean;geocodigo
MA;ALTO ALEGRE DO PINDARÉ;Prefeito;10;ZOZIMO AUGUSTO NERES DE CARVALHO;REPUBLICANOS;REPUBLICANOS;Não eleito;11;NORDESTE;5604;ALTO ALEGRE DO PINDARÉ;
BA;PRESIDENTE DUTRA;Prefeito;55;ZOROELIO PEREIRA MACHADO;PSD;PSD / PSB;Não eleito;11;NORDESTE;1086;PRESIDENTE DUTRA;2925600.0
BA;CONDE;Prefeito;13;ZIRONALDO NUNES BARROS;PT;REPUBLICANOS / PDT / MDB / PSB / PSD / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;6828;CONDE;2908606.0
MG;TURMALINA;Prefeito;55;ZILMAR PINHEIRO LOPES;PSD;PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PODE / AVANTE / UNIÃO / PRD;Eleito;11;SUDESTE;8579;TURMALINA;3169703.0
GO;SERRANÓPOLIS;Prefeito;11;ZILMAR FERREIRA DA SILVA CARVALHO;PP;PP / MDB;Eleito;11;CENTRO-OESTE;3658;SERRANÓPOLIS;5220504.0
CE;SENADOR SÁ;Prefeito;40;ZILMA SOUSA ARAUJO CORDEIRO;PSB;PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;1875;SENADOR SÁ;
RS;CAIÇARA;Prefeito;15;ZÍLIO ROGGIA;MDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / MDB / PL;Eleito;11;SUL;1748;CAIÇARA;4303400.0
MG;TOLEDO;Prefeito;45;ZILDO ALEXANDRO DE OLIVEIRA;PSDB;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;3104;TOLEDO;3169109.0
SP;SILVEIRAS;Prefeito;13;ZILDINEI CAMPOS DE OLIVEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;376;SILVEIRAS;3552007.0
MG;CONSELHEIRO LAFAIETE;Prefeito;13;ZILDA HELENA DOS SANTOS VIEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;5022;CONSELHEIRO LAFAIETE;3118304.0
RS;ROSÁRIO DO SUL;Prefeito;10;ZILASE JOBIM ARGEMI ROSSIGNOLLO;REPUBLICANOS;REPUBLICANOS / PP;Não eleito;11;SUL;6053;ROSÁRIO DO SUL;4316402.0
PA;SANTARÉM NOVO;Prefeito;55;ZEQUIAS BARROS CHAVES;PSD;PSD / PDT;Não eleito;11;NORTE;2603;SANTARÉM NOVO;1506906.0
BA;SÃO FÉLIX DO CORIBE;Prefeito;40;ZENUBIA ALVES DOS SANTOS;PSB;MDB / PODE / AVANTE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / PDT / PSD;Não eleito;11;NORDESTE;4849;SÃO FÉLIX DO CORIBE;2929057.0
PI;MONSENHOR HIPÓLITO;Prefeito;55;ZENON DE MOURA BEZERRA;PSD;PSD / MDB;Não eleito;11;NORDESTE;3358;MONSENHOR HIPÓLITO;2206506.0
ES;SÃO MATEUS;Prefeito;13;ZENILZA APARECIDA BARROS PAULI;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;4947;SÃO MATEUS;3204906.0
GO;PLANALTINA;Prefeito;45;ZENILTON NERES DA COSTA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PL / REPUBLICANOS;Não eleito;11;CENTRO-OESTE;11868;PLANALTINA;5217609.0
RO;JI-PARANÁ;Prefeito;20;ZENILTON FELBEK DE ALMEIDA;PODE;PODE;Não eleito;11;NORTE;794;JI-PARANÁ;
BA;ITAETÉ;Prefeito;40;ZENILDO MATOS DE OLIVEIRA;PSB;PODE / SOLIDARIEDADE / PSB;Eleito;11;NORDESTE;5386;ITAETÉ;
BA;JEQUIÉ;Prefeito;11;ZENILDO BRANDÃO SANTANA;PP;REPUBLICANOS / PP / PDT / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;NORDESTE;85219;JEQUIÉ;
MS;LAGUNA CARAPÃ;Prefeito;55;ZENAIDE ESPINDOLA FLORES;PSD;PODE / UNIÃO / PSD;Não eleito;11;CENTRO-OESTE;353;LAGUNA CARAPÃ;
RS;SÃO LOURENÇO DO SUL;Prefeito;13;ZELMUTE OLIVEIRA PERES MARTEN;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUL;7498;SÃO LOURENÇO DO SUL;4318804.0
RS;ESPUMOSO;Prefeito;12;ZELINDO SIGNOR NETO;PDT;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PDT / UNIÃO;Não eleito;11;SUL;4905;ESPUMOSO;4307500.0
GO;ITAPIRAPUÃ;Prefeito;22;ZELIA CAMELO DE OLIVEIRA;PL;PDT / PL / AGIR / PSD;Não eleito;11;CENTRO-OESTE;2782;ITAPIRAPUÃ;
MA;SÍTIO NOVO;Prefeito;11;ZEIMAR TEIXEIRA DE ARRUDA MACIEL;PP;PP / UNIÃO / Federação PSOL REDE (PSOL / REDE);Não eleito;11;NORDESTE;4098;SÍTIO NOVO;2111805.0
SP;ENGENHEIRO COELHO;Prefeito;55;ZEEDIVALDO ALVES DE MIRANDA;PSD;PSD;Não eleito;11;SUDESTE;876;ENGENHEIRO COELHO;3515152.0
BA;PÉ DE SERRA;Prefeito;44;ZEDIVAN DE FREITAS RIOS;UNIÃO;REPUBLICANOS / PDT / PL / UNIÃO / SOLIDARIEDADE;Eleito;11;NORDESTE;5506;PÉ DE SERRA;2924058.0
PR;IMBITUVA;Prefeito;10;ZAQUEU LUIZ BOBATO;REPUBLICANOS;PP / PDT / PODE / PRD / REPUBLICANOS / PSB;Não eleito;11;SUL;2196;IMBITUVA;4110102.0
MG;SANTA RITA DE MINAS;Prefeito;10;ZANIA FARIA SILVA;REPUBLICANOS;REPUBLICANOS / SOLIDARIEDADE;Eleito;11;SUDESTE;1923;SANTA RITA DE MINAS;3159357.0
RS;VISTA ALEGRE;Prefeito;13;ZAIRO RIBOLI;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / UNIÃO;Não eleito;11;SUL;1172;VISTA ALEGRE;4323507.0
BA;CANAVIEIRAS;Prefeito;44;ZAIRO JACQUES PINTO LOUREIRO;UNIÃO;UNIÃO;Não eleito;11;NORDESTE;4044;CANAVIEIRAS;2906303.0
RS;PINHEIRINHO DO VALE;Prefeito;45;ZAIRES DOMINGOS FACCIN;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;50;PINHEIRINHO DO VALE;4314498.0
MG;VARGINHA;Prefeito;22;ZACARIAS ABRÃO PIVA;PL;PP / PODE / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / AGIR / PL / REPUBLICANOS;Não eleito;11;SUDESTE;6645;VARGINHA;3170701.0
MG;CARMO DE MINAS;Prefeito;44;YURI VAZ DE OLIVEIRA;UNIÃO;PRD / UNIÃO;Não eleito;11;SUDESTE;1704;CARMO DE MINAS;3114105.0
RJ;PETRÓPOLIS;Prefeito;50;YURI LUCAS CARIUS DE MOURA ALMEIDA;PSOL;Federação PSOL REDE (PSOL / REDE);2º turno;11;SUDESTE;28001;PETRÓPOLIS;3303906.0
PB;JOÃO PESSOA;Prefeito;80;YURI EZEQUIEL DE LIMA SILVA;UP;UP;Não eleito;11;NORDESTE;2237;JOÃO PESSOA;2507507.0
BA;PEDRO ALEXANDRE;Prefeito;11;YURI CESAR DE ANDRADE MENEZES;PP;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PODE;Eleito;11;NORDESTE;4558;PEDRO ALEXANDRE;2924207.0
MA;CODÓ;Prefeito;55;YURI BRITO CORRÊA;PSD;PSD / NOVO / PMB;Não eleito;11;NORDESTE;2776;CODÓ;
CE;GUARAMIRANGA;Prefeito;10;YNARA FURTADO VASCONCELOS MOTA;REPUBLICANOS;REPUBLICANOS / MDB / PODE / PSB;Eleito;11;NORDESTE;3045;GUARAMIRANGA;2305100.0
GO;PIRENÓPOLIS;Prefeito;44;YNAE SIQUEIRA CURADO;UNIÃO;UNIÃO / SOLIDARIEDADE / REPUBLICANOS / NOVO;Não eleito;11;CENTRO-OESTE;6247;PIRENÓPOLIS;5217302.0
BA;OUROLÂNDIA;Prefeito;13;YHONARA ROCHA DE ALMEIDA FREIRE;PT;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;5163;OUROLÂNDIA;2923357.0
MA;SÃO LUÍS;Prefeito;28;YGLÉSIO LUCIANO MOYSES SILVA DE SOUZA;PRTB;PRTB;Não eleito;11;NORDESTE;18348;SÃO LUÍS;2111300.0
GO;FORMOSA;Prefeito;43;YASSER MARTINS YASSINE;PV;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;1216;FORMOSA;5208004.0
RJ;SÃO FRANCISCO DE ITABAPOANA;Prefeito;77;YARA CINTHIA ROCHA NOGUEIRA;SOLIDARIEDADE;REPUBLICANOS / PP / PDT / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;15312;SÃO FRANCISCO DE ITABAPOANA;3304755.0
SP;CAÇAPAVA;Prefeito;20;YAN LOPES DE ALMEIDA;PODE;PSB / PODE;Eleito;11;SUDESTE;18223;CAÇAPAVA;3508504.0
AM;ANAMÃ;Prefeito;20;YAMILE VIANA DE SOUZA QUEIROZ;PODE;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PODE;Não eleito;11;NORTE;182;ANAMÃ;
MT;CUIABÁ;Prefeito;22;ABILIO JACQUES BRUNINI MOUMER;PL;PL / NOVO / PRTB / DC;2º turno;11;CENTRO-OESTE;126944;CUIABÁ;
SP;ITARARÉ;Prefeito;55;YAGO FELIPE FERREIRA RAPOSO;PSD;MDB / PODE / NOVO / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUDESTE;9215;ITARARÉ;
ES;SERRA;Prefeito;30;WYLSON ZON FILHO;NOVO;NOVO;Não eleito;11;SUDESTE;919;SERRA;3205002.0
PE;POÇÃO;Prefeito;40;WRIDES MENDES PAZ;PSB;PSB;Não eleito;11;NORDESTE;1269;POÇÃO;2611200.0
PI;COCAL DOS ALVES;Prefeito;13;WODSON GIAN SILVA VIEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;3329;COCAL DOS ALVES;2202729.0
TO;MONTE DO CARMO;Prefeito;10;WLISSES JASON DE OLIVEIRA NEGRE;REPUBLICANOS;REPUBLICANOS / PP / NOVO;Não eleito;11;NORTE;1737;MONTE DO CARMO;1713601.0
TO;PALMEIRÓPOLIS;Prefeito;12;WLISSES BARROS DE SOUZA;PDT;REPUBLICANOS / PDT / MDB;Eleito;11;NORTE;2370;PALMEIRÓPOLIS;1715754.0
MG;CACHOEIRA DE PAJEÚ;Prefeito;13;WLADIMIR MENDES LIMA;PT;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;1342;CACHOEIRA DE PAJEÚ;
BA;ARATACA;Prefeito;40;WLADIMIR KRISTOFFESON BOMFIM DE OLIVEIRA;PSB;AVANTE / PSB;Não eleito;11;NORDESTE;1313;ARATACA;2902252.0
RJ;CAMPOS DOS GOYTACAZES;Prefeito;11;WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA;PP;REPUBLICANOS / PP / PDT / MDB / PODE / PL / AGIR / AVANTE;Eleito;11;SUDESTE;192232;CAMPOS DOS GOYTACAZES;3301009.0
AL;CACIMBINHAS;Prefeito;15;WLADIMIR ARAÚJO WANDERLEY;MDB;MDB / PSB;Eleito;11;NORDESTE;6336;CACIMBINHAS;2701209.0
MS;DOIS IRMÃOS DO BURITI;Prefeito;15;WLADEMIR DE SOUZA VOLK;MDB;REPUBLICANOS / PP / PDT / MDB / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;CENTRO-OESTE;4651;DOIS IRMÃOS DO BURITI;5003488.0
GO;GAMELEIRA DE GOIÁS;Prefeito;22;WIVVIANE DE CARVALHO DUARTE TELES;PL;PDT / MDB / PL / UNIÃO;Eleito;11;CENTRO-OESTE;1643;GAMELEIRA DE GOIÁS;5208152.0
GO;CORUMBAÍBA;Prefeito;15;WISNER ARAÚJO DE ALMEIDA;MDB;PP / PDT / MDB / DC / UNIÃO;Eleito;11;CENTRO-OESTE;3104;CORUMBAÍBA;5205901.0
MG;PIEDADE DO RIO GRANDE;Prefeito;15;WISLEY ALISSOM MANGIA;MDB;MDB;Não eleito;11;SUDESTE;959;PIEDADE DO RIO GRANDE;3150307.0
MT;CUIABÁ;Prefeito;13;LÚDIO FRANK MENDES CABRAL;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSD / Federação PSOL REDE (PSOL / REDE);2º turno;11;CENTRO-OESTE;90719;CUIABÁ;
