sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
AC;ACRELÂNDIA;Prefeito;11;EDERALDO CAETANO DE SOUSA;PP;PP / SOLIDARIEDADE / PSD;Não eleito;NORTE;2405
AC;ACRELÂNDIA;Prefeito;12;WILSON JOSÉ DOS SANTOS;PDT;PDT;Não eleito;NORTE;1237
AC;ACRELÂNDIA;Prefeito;15;OLAVO FRANCELINO DE REZENDE;MDB;PL / MDB / PSDB;Eleito;NORTE;2638
AC;ACRELÂNDIA;Prefeito;90;ROSANGELA SILVA DOS SANTOS;PROS;PSL / PROS;Não eleito;NORTE;569
AC;ASSIS BRASIL;Prefeito;13;JERRY CORREIA MARINHO;PT;PT;Eleito;NORTE;1583
AC;ASSIS BRASIL;Prefeito;15;JOÃO BATISTA DOS SANTOS JÚNIOR;MDB;PL / MDB;Não eleito;NORTE;387
AC;ASSIS BRASIL;Prefeito;45;ANTONIO BARBOSA DE SOUSA;PSDB;PSDB / PSL;Não eleito;NORTE;964
AC;ASSIS BRASIL;Prefeito;55;JOSE FERREIRA DO NASCIMENTO FILHO;PSD;PP / PSD;Não eleito;NORTE;1082
AC;ASSIS BRASIL;Prefeito;65;JESUS SEBASTIAN LOPEZ CARDOSO;PC do B;PC do B / PSB;Não eleito;NORTE;749
AC;BRASILÉIA;Prefeito;13;FERNANDA DE SOUZA HASSEM CESAR;PT;SOLIDARIEDADE / PC do B / DC / PROS / PSB / PT / PP;Eleito;NORTE;7651
AC;BRASILÉIA;Prefeito;15;ANA LEILA GALVÃO MAIA MOREIRA;MDB;MDB / PTB / PSL / PL / AVANTE / PSD;Não eleito;NORTE;4590
AC;BRASILÉIA;Prefeito;45;MANOEL PRETE;PSDB;PSDB;Não eleito;NORTE;627
AC;BUJARI;Prefeito;11;ROMUALDO DE SOUZA ARAÚJO;PP;PSDB / PROS / REPUBLICANOS / PATRIOTA / AVANTE / PP;Não eleito;NORTE;2311
AC;BUJARI;Prefeito;12;JOÃO EDVALDO TELES DE LIMA;PDT;MDB / PC do B / PDT / DEM;Eleito;NORTE;3386
AC;BUJARI;Prefeito;13;ORLANDO DINIZ;PT;PT / PL;Não eleito;NORTE;188
AC;BUJARI;Prefeito;40;VALDIVINO NONATO DE SOUSA;PSB;PSD / PSB;Não eleito;NORTE;735
AC;BUJARI;Prefeito;77;FABRÍCIA SÁ DE FRANÇA OLIVEIRA;SOLIDARIEDADE;SOLIDARIEDADE;Não eleito;NORTE;431
AC;CAPIXABA;Prefeito;13;LOURIVAL MUSTAFA DE ANDRADE;PT;PT / PSD;Não eleito;NORTE;1228
AC;CAPIXABA;Prefeito;14;LAMARTINE MAIA NASCIMENTO;PTB;PTB / DC;Não eleito;NORTE;724
AC;CAPIXABA;Prefeito;15;ANTONIO CORDEIRO DA SILVA;MDB;REPUBLICANOS / PL / PDT / MDB;Não eleito;NORTE;1318
AC;CAPIXABA;Prefeito;25;MANOEL MAIA BEZERRA;DEM;DEM / SOLIDARIEDADE / PSDB / PROS / PP;Eleito;NORTE;2627
AC;CRUZEIRO DO SUL;Prefeito;11;JOSÉ DE SOUZA LIMA;PP;PDT / PSB / SOLIDARIEDADE / PP / PSD / PROS / PC do B / PT / DC;Eleito;NORTE;18766
