sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos
MA;ALTO ALEGRE DO PINDARÉ;Prefeito;10;ZOZIMO AUGUSTO NERES DE CARVALHO;REPUBLICANOS;REPUBLICANOS;Não eleito;11;NORDESTE;5604
BA;PRESIDENTE DUTRA;Prefeito;55;ZOROELIO PEREIRA MACHADO;PSD;PSD / PSB;Não eleito;11;NORDESTE;1086
BA;CONDE;Prefeito;13;ZIRONALDO NUNES BARROS;PT;REPUBLICANOS / PDT / MDB / PSB / PSD / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;6828
MG;TURMALINA;Prefeito;55;ZILMAR PINHEIRO LOPES;PSD;PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PODE / AVANTE / UNIÃO / PRD;Eleito;11;SUDESTE;8579
GO;SERRANÓPOLIS;Prefeito;11;ZILMAR FERREIRA DA SILVA CARVALHO;PP;PP / MDB;Eleito;11;CENTRO-OESTE;3658
CE;SENADOR SÁ;Prefeito;40;ZILMA SOUSA ARAUJO CORDEIRO;PSB;PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;1875
RS;CAIÇARA;Prefeito;15;ZÍLIO ROGGIA;MDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / MDB / PL;Eleito;11;SUL;1748
MG;TOLEDO;Prefeito;45;ZILDO ALEXANDRO DE OLIVEIRA;PSDB;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;3104
SP;SILVEIRAS;Prefeito;13;ZILDINEI CAMPOS DE OLIVEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;376
MG;CONSELHEIRO LAFAIETE;Prefeito;13;ZILDA HELENA DOS SANTOS VIEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;5022
RS;ROSÁRIO DO SUL;Prefeito;10;ZILASE JOBIM ARGEMI ROSSIGNOLLO;REPUBLICANOS;REPUBLICANOS / PP;Não eleito;11;SUL;6053
PA;SANTARÉM NOVO;Prefeito;55;ZEQUIAS BARROS CHAVES;PSD;PSD / PDT;Não eleito;11;NORTE;2603
BA;SÃO FÉLIX DO CORIBE;Prefeito;40;ZENUBIA ALVES DOS SANTOS;PSB;MDB / PODE / AVANTE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / PDT / PSD;Não eleito;11;NORDESTE;4849
PI;MONSENHOR HIPÓLITO;Prefeito;55;ZENON DE MOURA BEZERRA;PSD;PSD / MDB;Não eleito;11;NORDESTE;3358
ES;SÃO MATEUS;Prefeito;13;ZENILZA APARECIDA BARROS PAULI;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;4947
GO;PLANALTINA;Prefeito;45;ZENILTON NERES DA COSTA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PL / REPUBLICANOS;Não eleito;11;CENTRO-OESTE;11868
RO;JI-PARANÁ;Prefeito;20;ZENILTON FELBEK DE ALMEIDA;PODE;PODE;Não eleito;11;NORTE;794
BA;ITAETÉ;Prefeito;40;ZENILDO MATOS DE OLIVEIRA;PSB;PODE / SOLIDARIEDADE / PSB;Eleito;11;NORDESTE;5386
BA;JEQUIÉ;Prefeito;11;ZENILDO BRANDÃO SANTANA;PP;REPUBLICANOS / PP / PDT / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;NORDESTE;85219
MS;LAGUNA CARAPÃ;Prefeito;55;ZENAIDE ESPINDOLA FLORES;PSD;PODE / UNIÃO / PSD;Não eleito;11;CENTRO-OESTE;353
RS;SÃO LOURENÇO DO SUL;Prefeito;13;ZELMUTE OLIVEIRA PERES MARTEN;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUL;7498
RS;ESPUMOSO;Prefeito;12;ZELINDO SIGNOR NETO;PDT;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PDT / UNIÃO;Não eleito;11;SUL;4905
GO;ITAPIRAPUÃ;Prefeito;22;ZELIA CAMELO DE OLIVEIRA;PL;PDT / PL / AGIR / PSD;Não eleito;11;CENTRO-OESTE;2782
MA;SÍTIO NOVO;Prefeito;11;ZEIMAR TEIXEIRA DE ARRUDA MACIEL;PP;PP / UNIÃO / Federação PSOL REDE (PSOL / REDE);Não eleito;11;NORDESTE;4098
SP;ENGENHEIRO COELHO;Prefeito;55;ZEEDIVALDO ALVES DE MIRANDA;PSD;PSD;Não eleito;11;SUDESTE;876
BA;PÉ DE SERRA;Prefeito;44;ZEDIVAN DE FREITAS RIOS;UNIÃO;REPUBLICANOS / PDT / PL / UNIÃO / SOLIDARIEDADE;Eleito;11;NORDESTE;5506
PR;IMBITUVA;Prefeito;10;ZAQUEU LUIZ BOBATO;REPUBLICANOS;PP / PDT / PODE / PRD / REPUBLICANOS / PSB;Não eleito;11;SUL;2196
MG;SANTA RITA DE MINAS;Prefeito;10;ZANIA FARIA SILVA;REPUBLICANOS;REPUBLICANOS / SOLIDARIEDADE;Eleito;11;SUDESTE;1923
RS;VISTA ALEGRE;Prefeito;13;ZAIRO RIBOLI;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / UNIÃO;Não eleito;11;SUL;1172
BA;CANAVIEIRAS;Prefeito;44;ZAIRO JACQUES PINTO LOUREIRO;UNIÃO;UNIÃO;Não eleito;11;NORDESTE;4044
RS;PINHEIRINHO DO VALE;Prefeito;45;ZAIRES DOMINGOS FACCIN;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;50
MG;VARGINHA;Prefeito;22;ZACARIAS ABRÃO PIVA;PL;PP / PODE / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / AGIR / PL / REPUBLICANOS;Não eleito;11;SUDESTE;6645
MG;CARMO DE MINAS;Prefeito;44;YURI VAZ DE OLIVEIRA;UNIÃO;PRD / UNIÃO;Não eleito;11;SUDESTE;1704
