sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
AC;RIO BRANCO;Prefeito;11;SEBASTIÃO BOCALOM RODRIGUES;PP;PSD / PP;2;Eleito;NORTE;104746
AC;RIO BRANCO;Prefeito;40;MARIA DO SOCORRO NERI MEDEIROS DE SOUZA;PSB;PSB / PODE / PROS / SOLIDARIEDADE / PDT / PV / DEM / PTC;2;Não eleito;NORTE;61702
AL;MACEIÓ;Prefeito;15;ALFREDO GASPAR DE MENDONÇA NETO;MDB;PL / AVANTE / MDB / PRTB / PSC / PTC / PV / PSD / PODE;2;Não eleito;NORDESTE;156704
AL;MACEIÓ;Prefeito;40;JOÃO HENRIQUE HOLANDA CALDAS;PSB;PSB / PDT / PSDB;2;Eleito;NORDESTE;222147
AM;MANAUS;Prefeito;19;AMAZONINO ARMANDO MENDES;PODE;PSL / CIDADANIA / PODE / MDB;2;Não eleito;NORTE;443747
AM;MANAUS;Prefeito;70;DAVID ANTONIO ABISAI PEREIRA DE ALMEIDA;AVANTE;AVANTE / PMB / PTC / PRTB / PV / DEM / PROS;2;Eleito;NORTE;466970
AP;MACAPÁ;Prefeito;23;ANTONIO PAULO DE OLIVEIRA FURLAN;CIDADANIA;CIDADANIA / MDB / PMN;2;Eleito;NORTE;101091
AP;MACAPÁ;Prefeito;25;JOSE SAMUEL ALCOLUMBRE TOBELEM;DEM;PDT / PSC / PL / PV / PSDB / PSD / SOLIDARIEDADE / PROS / AVANTE / REPUBLICANOS / PP / DEM;2;Não eleito;NORTE;80499
BA;FEIRA DE SANTANA;Prefeito;13;JOSE CERQUEIRA DE SANTANA NETO;PT;PDT / PT / AVANTE / PP / PC do B;2;Não eleito;NORDESTE;138073
BA;FEIRA DE SANTANA;Prefeito;15;COLBERT MARTINS DA SILVA FILHO;MDB;PSD / DEM / PV / PROS / PSC / MDB / PATRIOTA / PSDB / PL / REDE;2;Eleito;NORDESTE;164831
BA;VITÓRIA DA CONQUISTA;Prefeito;13;JOSÉ RAIMUNDO FONTES;PT;PT / PC do B / PSB / PL / PDT;2;Não eleito;NORDESTE;82942
BA;VITÓRIA DA CONQUISTA;Prefeito;15;HERZEM GUSMÃO PEREIRA;MDB;REPUBLICANOS / PTB / MDB / PODE / PMB / PSDB / DEM;2;Eleito;NORDESTE;97364
CE;CAUCAIA;Prefeito;55;NAUMI GOMES DE AMORIM;PSD;PTB / AVANTE / DEM / PSD / PSL / DC / PDT / SOLIDARIEDADE;2;Não eleito;NORDESTE;80045
CE;CAUCAIA;Prefeito;90;VITOR PEREIRA VALIM;PROS;PTC / PROS / REPUBLICANOS / PSC / PL;2;Eleito;NORDESTE;83588
CE;FORTALEZA;Prefeito;12;JOSÉ SARTO NOGUEIRA MOREIRA;PDT;PP / PDT / PTB / PL / PSB / DEM / PSD / CIDADANIA / REDE / PSDB;2;Eleito;NORDESTE;668652
CE;FORTALEZA;Prefeito;90;WAGNER SOUSA GOMES;PROS;PROS / REPUBLICANOS / PODE / PSC / PMB / PMN / PTC / DC / AVANTE;2;Não eleito;NORDESTE;624892
ES;CARIACICA;Prefeito;13;CELIA MARIA VILELA TAVARES;PT;PT / SOLIDARIEDADE;2;Não eleito;SUDESTE;67111
ES;CARIACICA;Prefeito;25;EUCLERIO DE AZEVEDO SAMPAIO JUNIOR;DEM;DEM / PMN / AVANTE / CIDADANIA / REPUBLICANOS / PODE;2;Eleito;SUDESTE;95356
ES;SERRA;Prefeito;12;ANTÔNIO SERGIO ALVES VIDIGAL;PDT;PSD / PDT / SOLIDARIEDADE / PSL / CIDADANIA;2;Eleito;SUDESTE;111920
ES;SERRA;Prefeito;18;FABIO DUARTE DE ALMEIDA;REDE;PMN / REDE / PATRIOTA / PODE;2;Não eleito;SUDESTE;91931
ES;VILA VELHA;Prefeito;19;ARNALDO BORGO FILHO;PODE;PTC / SOLIDARIEDADE / PODE;2;Eleito;SUDESTE;138741
ES;VILA VELHA;Prefeito;45;MAX FREITAS MAURO FILHO;PSDB;PSDB / PP / DC / PSB / DEM / PSC;2;Não eleito;SUDESTE;62236
ES;VITÓRIA;Prefeito;10;LORENZO SILVA DE PAZOLINI;REPUBLICANOS;MDB / REPUBLICANOS / DEM / PTC / SOLIDARIEDADE;2;Eleito;SUDESTE;102466
ES;VITÓRIA;Prefeito;13;JOAO CARLOS COSER;PT;PT;2;Não eleito;SUDESTE;72684
GO;ANÁPOLIS;Prefeito;11;ROBERTO NAVES E SIQUEIRA;PP;PODE / PSC / CIDADANIA / PP / DEM / PDT / PL / DC / PMN / PSB / PV / SOLIDARIEDADE / AVANTE;2;Eleito;CENTRO-OESTE;101349
GO;ANÁPOLIS;Prefeito;13;ANTONIO ROBERTO OTONI GOMIDE;PT;PT / PC do B / PMB;2;Não eleito;CENTRO-OESTE;64046
GO;GOIÂNIA;Prefeito;15;LUIZ ALBERTO MAGUITO VILELA;MDB;PMB / PTC / PATRIOTA / MDB / REPUBLICANOS / PC do B / PL;2;Eleito;CENTRO-OESTE;277497
