ANO_ELEICAO;SG_UF;DS_CARGO;SG_PARTIDO;DS_COMPOSICAO_FEDERACAO;DS_COMPOSICAO_COLIGACAO
2026;PA;SENADOR;MOBILIZA;#NULO;MOBILIZA
2026;PI;DEPUTADO FEDERAL;PT;13-PT/65-PC do B/43-PV;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV)
2026;RS;1º SUPLENTE;PODE;#NULO;REPUBLICANOS / PODE / DC / NOVO / PL / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;PE;2º SUPLENTE;PSOL;50-PSOL/18-REDE;PCB / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;ES;1º SUPLENTE;PSDB;45-PSDB/23-CIDADANIA;PDT / MDB / PODE / AGIR / PSB / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;AP;2º SUPLENTE;PSDB;45-PSDB/23-CIDADANIA;REPUBLICANOS / PDT / AGIR / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP) / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;AL;SENADOR;PODE;#NULO;MDB / PODE / AGIR / PSB / PSD / AVANTE / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV)
2026;BA;1º SUPLENTE;PP;44-UNIÃO/11-PP;REPUBLICANOS / PODE / PL / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE) / NOVO
2026;AC;2º SUPLENTE;PSB;#NULO;PODE / PSB / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV)
2026;SP;GOVERNADOR;PCB;#NULO;PCB
2026;RN;1º SUPLENTE;DC;#NULO;DC
2026;RN;VICE-GOVERNADOR;PSB;#NULO;PDT / PSB / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV)
2026;PR;VICE-GOVERNADOR;NOVO;#NULO;PODE / PL / NOVO
2026;MS;1º SUPLENTE;MDB;#NULO;PL / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP) / REPUBLICANOS / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / PSD / MDB / PODE / AVANTE
2026;RN;GOVERNADOR;PSB;#NULO;PDT / PSB / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV)
2026;AL;DEPUTADO ESTADUAL;PP;44-UNIÃO/11-PP;FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;GO;GOVERNADOR;PSDB;45-PSDB/23-CIDADANIA;DC / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA)
2026;RN;2º SUPLENTE;PSB;#NULO;PDT / PSB / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV)
2026;GO;SENADOR;PT;13-PT/65-PC do B/43-PV;PDT / PSB / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;PE;SENADOR;REPUBLICANOS;#NULO;REPUBLICANOS / PDT / MDB / DC / PSB / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;PR;GOVERNADOR;PRD;25-PRD/77-SOLIDARIEDADE;PDT / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;SC;1º SUPLENTE;AGIR;#NULO;REPUBLICANOS / PODE / PL / DC / NOVO / AGIR / AVANTE / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA)
2026;PA;2º SUPLENTE;UNIÃO;44-UNIÃO/11-PP;PSD / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP) / PSB / REPUBLICANOS / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / MDB / AVANTE
2026;RJ;GOVERNADOR;MOBILIZA;#NULO;PL / MOBILIZA / AGIR / AVANTE
2026;MT;2º SUPLENTE;SOLIDARIEDADE;25-PRD/77-SOLIDARIEDADE;MDB / PL / NOVO / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;PE;DEPUTADO FEDERAL;AVANTE;#NULO;AVANTE
2026;MG;DEPUTADO ESTADUAL;PSOL;50-PSOL/18-REDE;FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;MS;DEPUTADO ESTADUAL;PCDOB;13-PT/65-PC do B/43-PV;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV)
2026;RJ;DEPUTADO ESTADUAL;PDT;#NULO;PDT
2026;PI;DEPUTADO FEDERAL;PSDB;45-PSDB/23-CIDADANIA;FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA)
2026;AP;1º SUPLENTE;PODE;#NULO;PODE / PL / NOVO / PSD
2026;RS;1º SUPLENTE;PSB;#NULO;PDT / PSB / AVANTE / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV) / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;PE;GOVERNADOR;PSOL;50-PSOL/18-REDE;PCB / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE)
2026;AC;GOVERNADOR;NOVO;#NULO;REPUBLICANOS / NOVO / PSD / AVANTE
2026;RN;2º SUPLENTE;PODE;#NULO;PODE / PL / NOVO / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / MOBILIZA
2026;MG;VICE-GOVERNADOR;UNIÃO;44-UNIÃO/11-PP;PSD / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP) / NOVO / AVANTE / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE) / MOBILIZA / DC / AGIR
2026;MA;SENADOR;UNIÃO;44-UNIÃO/11-PP;FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;SC;VICE-GOVERNADOR;REDE;50-PSOL/18-REDE;PDT / PSB / FEDERAÇÃO PSOL REDE (50-PSOL / 18-REDE) / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (13-PT / 65-PC do B / 43-PV)
2026;DF;VICE-GOVERNADOR;NOVO;#NULO;NOVO
2026;RO;GOVERNADOR;AVANTE;#NULO;PSD / AVANTE / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;MG;2º SUPLENTE;PP;44-UNIÃO/11-PP;FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
2026;RN;DEPUTADO ESTADUAL;SOLIDARIEDADE;25-PRD/77-SOLIDARIEDADE;FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;RO;DEPUTADO ESTADUAL;PSB;#NULO;PSB
2026;RR;DEPUTADO ESTADUAL;PL;#NULO;PL
2026;PA;1º SUPLENTE;MOBILIZA;#NULO;MOBILIZA
2026;BA;SENADOR;PP;44-UNIÃO/11-PP;REPUBLICANOS / PODE / PL / FEDERAÇÃO PSDB CIDADANIA (45-PSDB / 23-CIDADANIA) / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE) / NOVO
2026;MT;2º SUPLENTE;NOVO;#NULO;MDB / PL / NOVO / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (25-PRD / 77-SOLIDARIEDADE)
2026;AC;SENADOR;PP;44-UNIÃO/11-PP;PDT / MDB / PL / DEMOCRATA / FEDERAÇÃO UNIÃO PROGRESSISTA (44-UNIÃO / 11-PP)
